0.0499000000000004 [1.4451125211879012, 2.672382577211808] 1.2
0.09990000000000183 [1.6097569637350388, 2.7654195419250787] 1.1509948298984372
0.1498999999999998 [1.5438112151963244, 2.6520524699333805] 1.049431894422717
0.1998999999999943 [1.895231027461457, 2.617491021638296] 1.1822390523551793
0.2498999999999888 [1.916762464282029, 2.9049332773912964] 1.1732907636150418
0.2998999999999833 [1.7981233205559002, 2.4556107917878216] 1.1336483909908373
0.3498999999999778 [1.760998298522912, 2.3321896700200706] 1.1135037343803826
0.3998999999999723 [1.6468251917129288, 2.8162551110070932] 1.0148636131869928
0.44989999999996677 [1.663253967965859, 2.9843091675323423] 1.0867391160225364
0.49989999999996126 [1.7347544728962716, 3.059808164924778] 1.0644002808861328
0.5498999999999558 [1.661064609863138, 2.818126506611118] 0.8834575444419024
0.5998999999999503 [1.6397832669669719, 2.534193625687573] 0.9688956010988755
0.6498999999999447 [1.733010575419167, 2.648435191895447] 0.8695028967352765
0.6998999999999392 [1.412262942156007, 2.470706253480236] 1.082120995692934
0.7498999999999337 [1.226004725495855, 2.5257290338862513] 1.124519078787987
0.7998999999999282 [1.5049769030260978, 2.4119196666449563] 0.9872803072277533
0.8498999999999227 [1.265562273583187, 2.7687458510971483] 1.0946012425572198
0.8998999999999172 [1.6142187849324512, 2.439027773021413] 0.874055453304884
0.9498999999999117 [1.54784435182654, 2.693139738181243] 0.7593354084091186
0.9998999999999062 [1.295344560715264, 2.9568912313336817] 1.1198190609956429
1.0498999999999008 [1.351657198105297, 2.5215401955583583] 0.8829981699001079
1.0998999999998953 [1.1523922861169686, 2.747565169606247] 1.0437096338482323
1.1498999999998898 [1.8014564640567745, 2.9083225007627402] 0.8902846992268719
1.1998999999998843 [1.9078368101156826, 2.7088041829728633] 0.9361713131968273
1.2498999999998788 [1.8404581411271883, 2.4860359118557107] 0.8750641170275367
1.2998999999998733 [1.8497149062770806, 2.740969579486077] 0.798915306781477
1.3498999999998678 [2.195344448192994, 2.418474675504413] 1.1821255811893796
1.3998999999998623 [2.03247916410416, 2.4383972436508023] 1.0142229429602583
1.4498999999998567 [1.3822726293051197, 2.246517086762875] 1.0894775757166553
1.4998999999998512 [1.4386394835084628, 2.2234700869582698] 1.0138602365890184
1.5498999999998457 [1.7730488935551392, 2.2536709432150035] 0.991527807165338
1.5998999999998402 [1.6554850143100932, 2.3429872146327684] 0.8135518379149848
1.6498999999998347 [2.1386933445275114, 2.7834160014184426] 1.1065761533901437
1.6998999999998292 [2.2137165288770695, 3.081264490721357] 1.1774097789782454
1.7498999999998237 [1.7393870316822957, 3.1427569762723806] 1.020521365276359
1.7998999999998182 [1.4480474401321666, 2.7183871185911936] 0.753555153069399
1.8498999999998127 [1.994379159172365, 3.0341677473718804] 1.006374278184997
1.8998999999998072 [1.8977664270148424, 2.437922388408931] 0.8092876617522299
1.9498999999998017 [1.4814792039033604, 2.4133512555769334] 0.7458846832925662
1.9998999999997962 [1.1141154873075396, 2.7306698729026673] 0.9914090727082139
2.0498999999999015 [1.4918645687127197, 2.998469287164159] 0.960366682154365
2.099900000000007 [1.2227877662464253, 2.9277583239200284] 0.9623425223059718
2.1499000000001125 [1.744610445449555, 2.6292627009138725] 0.6591948212449957
2.199900000000218 [1.4127047348978925, 3.021941169778037] 0.937778036719214
